# SUPERMICRO-HEALTH-MIB list of identifiers (generated by smidump 0.4.8)

SUPERMICRO-HEALTH-MIB SMHealthInfoTypes                      type        
SUPERMICRO-SSM-MIB    memSerialNumber                        column       1.3.6.1.4.1.10876.100.1.3.1.10
SUPERMICRO-SSM-MIB    memCapacity                            column       1.3.6.1.4.1.10876.100.1.3.1.11
SUPERMICRO-SSM-MIB    memDataWidth                           column       1.3.6.1.4.1.10876.100.1.3.1.12
SUPERMICRO-SSM-MIB    memTotalWidth                          column       1.3.6.1.4.1.10876.100.1.3.1.13
SUPERMICRO-SSM-MIB    memErrorCount                          column       1.3.6.1.4.1.10876.100.1.3.1.15
SUPERMICRO-SSM-MIB    memECCErrorCount                       column       1.3.6.1.4.1.10876.100.1.3.1.16
SUPERMICRO-SSM-MIB    memUECCErrorCount                      column       1.3.6.1.4.1.10876.100.1.3.1.17
SUPERMICRO-SSM-MIB    diskTable                              table        1.3.6.1.4.1.10876.100.1.4
SUPERMICRO-SSM-MIB    diskEntry                              row          1.3.6.1.4.1.10876.100.1.4.1
SUPERMICRO-SSM-MIB    diskSerialNumber                       column       1.3.6.1.4.1.10876.100.1.4.1.1
SUPERMICRO-SSM-MIB    diskName                               column       1.3.6.1.4.1.10876.100.1.4.1.2
SUPERMICRO-SSM-MIB    diskVendor                             column       1.3.6.1.4.1.10876.100.1.4.1.3
SUPERMICRO-SSM-MIB    diskSmartStatus                        column       1.3.6.1.4.1.10876.100.1.4.1.4
SUPERMICRO-SSM-MIB    diskModel                              column       1.3.6.1.4.1.10876.100.1.4.1.5
SUPERMICRO-SSM-MIB    diskSize                               column       1.3.6.1.4.1.10876.100.1.4.1.6
SUPERMICRO-SSM-MIB    diskMediaType                          column       1.3.6.1.4.1.10876.100.1.4.1.8
SUPERMICRO-SSM-MIB    diskInterfaceType                      column       1.3.6.1.4.1.10876.100.1.4.1.9
SUPERMICRO-SSM-MIB    diskController                         column       1.3.6.1.4.1.10876.100.1.4.1.10
SUPERMICRO-SSM-MIB    sysBIOSTable                           table        1.3.6.1.4.1.10876.100.1.5
SUPERMICRO-SSM-MIB    sysBIOSEntry                           row          1.3.6.1.4.1.10876.100.1.5.1
SUPERMICRO-SSM-MIB    sysBIOSIndex                           column       1.3.6.1.4.1.10876.100.1.5.1.1
SUPERMICRO-SSM-MIB    sysBIOSReleaseDate                     column       1.3.6.1.4.1.10876.100.1.5.1.7
SUPERMICRO-SSM-MIB    sysBIOSVersion                         column       1.3.6.1.4.1.10876.100.1.5.1.8
SUPERMICRO-SSM-MIB    sysBIOSManufacturer                    column       1.3.6.1.4.1.10876.100.1.5.1.11
SUPERMICRO-SSM-MIB    mbTable                                table        1.3.6.1.4.1.10876.100.1.6
SUPERMICRO-SSM-MIB    mbEntry                                row          1.3.6.1.4.1.10876.100.1.6.1
SUPERMICRO-SSM-MIB    mbIndex                                column       1.3.6.1.4.1.10876.100.1.6.1.1
SUPERMICRO-SSM-MIB    mbManufacturer                         column       1.3.6.1.4.1.10876.100.1.6.1.10
SUPERMICRO-SSM-MIB    mbProductName                          column       1.3.6.1.4.1.10876.100.1.6.1.11
SUPERMICRO-SSM-MIB    mbVersionName                          column       1.3.6.1.4.1.10876.100.1.6.1.12
SUPERMICRO-SSM-MIB    mbAssetTag                             column       1.3.6.1.4.1.10876.100.1.6.1.15
SUPERMICRO-SSM-MIB    mbSerialNumber                         column       1.3.6.1.4.1.10876.100.1.6.1.16
SUPERMICRO-SSM-MIB    osTable                                table        1.3.6.1.4.1.10876.100.1.7
SUPERMICRO-SSM-MIB    osEntry                                row          1.3.6.1.4.1.10876.100.1.7.1
SUPERMICRO-SSM-MIB    osIndex                                column       1.3.6.1.4.1.10876.100.1.7.1.1
SUPERMICRO-SSM-MIB    osName                                 column       1.3.6.1.4.1.10876.100.1.7.1.6
SUPERMICRO-SSM-MIB    osVersion                              column       1.3.6.1.4.1.10876.100.1.7.1.7
SUPERMICRO-SSM-MIB    osManufacturer                         column       1.3.6.1.4.1.10876.100.1.7.1.8
SUPERMICRO-SSM-MIB    osSerialNumber                         column       1.3.6.1.4.1.10876.100.1.7.1.9
SUPERMICRO-SSM-MIB    osCSDVersion                           column       1.3.6.1.4.1.10876.100.1.7.1.10
SUPERMICRO-SSM-MIB    dmiLogTable                            node         1.3.6.1.4.1.10876.100.1.8
SUPERMICRO-SSM-MIB    ceccLogTable                           table        1.3.6.1.4.1.10876.100.1.8.1
SUPERMICRO-SSM-MIB    ceccLogEntry                           row          1.3.6.1.4.1.10876.100.1.8.1.1
SUPERMICRO-SSM-MIB    ceccLogDatetime                        column       1.3.6.1.4.1.10876.100.1.8.1.1.1
SUPERMICRO-SSM-MIB    ceccLogInfo                            column       1.3.6.1.4.1.10876.100.1.8.1.1.2
SUPERMICRO-SSM-MIB    ceccLogIndex                           column       1.3.6.1.4.1.10876.100.1.8.1.1.10
